Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,des3_ede_setkey,orig,20,6,6,4,1,1,6,1,1
main1.c,des3_ede_setkey,orig-opt,20,5,5,4,1,1,6,1,1
main1.c,des3_ede_setkey,isochr,36,7,7,6,2,2,9,2,2
main1.c,des3_ede_setkey,isochr-opt,33,7,7,6,2,2,8,2,2
main1.c,des3_ede_encrypt,orig,1.469,202,202,485,432,432,4,1,1
main1.c,des3_ede_encrypt,orig-opt,1.723,232,232,487,432,432,6,1,1
main1.c,des3_ede_encrypt,isochr,1.518,207,207,485,432,432,5,1,1
main1.c,des3_ede_encrypt,isochr-opt,1.723,232,232,487,431,431,6,1,1
main2.c,des3_ede_setkey,orig,20,6,6,4,1,1,6,1,1
main2.c,des3_ede_setkey,orig-opt,20,5,5,4,1,1,6,1,1
main2.c,des3_ede_setkey,isochr,36,7,7,6,2,2,9,2,2
main2.c,des3_ede_setkey,isochr-opt,33,7,7,6,2,2,8,2,2
main2.c,des3_ede_encrypt,orig,1.469,202,202,485,433,433,4,1,1
main2.c,des3_ede_encrypt,orig-opt,1.723,232,232,487,433,433,6,1,1
main2.c,des3_ede_encrypt,isochr,1.518,207,207,485,433,433,5,1,1
main2.c,des3_ede_encrypt,isochr-opt,1.723,232,232,487,431,431,6,1,1
