      Src,     Type,    N,     Mean, Median,      Std, #Outliers
 measure1,     orig,   32, 1184.202, 1170.0,  105.045,         7
 measure1,     orig,   64, 1193.854, 1184.0,   76.656,         5
 measure1,     orig,   96, 1275.709, 1276.5,   81.177,         6
 measure1,     orig,  128, 1308.163, 1298.0,    85.82,        12
 measure1,     orig,  160, 1289.007, 1283.0,   88.317,         9
 measure1,     orig,  192, 1402.334, 1393.5,   93.334,        14
 measure1,     orig,  224, 1406.149, 1394.0,  101.534,        14
 measure1,     orig,  256,  1375.16, 1364.0,   94.541,         4
 measure1,     orig,  288,  1638.82, 1554.0,  353.618,        17
 measure1,     orig,  320, 1632.032, 1616.0,  127.235,        16
 measure1,     orig,  352,  1614.15, 1602.0,  123.572,        20
 measure1,     orig,  384, 1594.383, 1586.0,  122.568,        12
 measure1,     orig,  416, 1562.263, 1545.0,  116.838,        12
 measure1,     orig,  448, 1728.129, 1713.0,  145.432,        14
 measure1,     orig,  480, 2020.435, 2019.5,  197.476,         6
 measure1,     orig,  512, 1964.423, 1936.5,  180.997,        12
 measure1,     orig,  544,  1853.48, 1830.0,  138.249,        16
 measure1,     orig,  576, 2226.403, 2209.0,  185.431,        12
 measure1,     orig,  608, 1962.545, 1951.0,  161.066,        19
 measure1,     orig,  640, 2036.676, 2009.0,  155.547,        18
 measure1,     orig,  672, 2328.098, 2296.5,  199.331,        18
 measure1,     orig,  704, 2410.531, 2389.5,   230.07,        12
 measure1,     orig,  736, 2344.584, 2322.0,   157.72,        20
 measure1,     orig,  768, 2645.328, 2623.0,  257.658,        19
 measure1,     orig,  800,  2254.07, 2223.0,  202.734,        13
 measure1,     orig,  832, 2538.518, 2497.5,  221.951,        20
 measure1,     orig,  864, 2828.692, 2802.0,  272.594,        16
 measure1,     orig,  896, 2540.647, 2524.0,  193.406,        16
 measure1,     orig,  928,  2703.53, 2675.0,  234.566,        21
 measure1,     orig,  960,  2894.37, 2871.0,  244.643,        22
 measure1,     orig,  992, 2917.879, 2840.5,  445.067,         8
 measure1,     orig, 1024, 2726.458, 2704.0,  203.417,        27
 measure1, orig-opt,   32, 1156.805, 1147.0,   78.988,        13
 measure1, orig-opt,   64, 1165.012, 1162.0,   75.845,         9
 measure1, orig-opt,   96, 1204.747, 1202.0,   89.672,         6
 measure1, orig-opt,  128, 1171.092, 1163.0,   87.601,        10
 measure1, orig-opt,  160, 1192.623, 1183.0,   87.184,         5
 measure1, orig-opt,  192,  1170.91, 1165.0,   91.985,        10
 measure1, orig-opt,  224, 1217.026, 1184.0,  172.086,        21
 measure1, orig-opt,  256, 1164.162, 1162.0,   78.691,         7
 measure1, orig-opt,  288, 1156.905, 1151.0,   82.834,        15
 measure1, orig-opt,  320, 1149.587, 1143.5,   81.599,         8
 measure1, orig-opt,  352, 1163.708, 1158.0,   82.403,        11
 measure1, orig-opt,  384,  1147.19, 1151.0,   70.529,        12
 measure1, orig-opt,  416, 1176.966, 1170.5,   92.842,         4
 measure1, orig-opt,  448, 1136.113, 1130.0,   72.751,         9
 measure1, orig-opt,  480, 1166.889, 1167.0,   77.829,         7
 measure1, orig-opt,  512, 1158.208, 1159.0,   72.243,         6
 measure1, orig-opt,  544, 1173.446, 1174.0,   79.815,        13
 measure1, orig-opt,  576, 1198.355, 1198.0,   88.152,         9
 measure1, orig-opt,  608, 1176.484, 1178.0,   79.288,        15
 measure1, orig-opt,  640, 1173.057, 1170.5,   85.118,         6
 measure1, orig-opt,  672, 1186.434, 1186.5,   83.956,         6
 measure1, orig-opt,  704, 1199.253, 1191.0,    91.44,         2
 measure1, orig-opt,  736, 1177.357, 1175.0,   77.378,        12
 measure1, orig-opt,  768, 1211.874, 1210.0,   89.034,         7
 measure1, orig-opt,  800, 1185.205, 1183.0,   82.527,        10
 measure1, orig-opt,  832, 1172.777, 1173.5,   85.782,        10
 measure1, orig-opt,  864, 1171.162, 1170.0,   86.476,         7
 measure1, orig-opt,  896, 1186.199, 1183.5,   84.812,        12
 measure1, orig-opt,  928, 1166.757, 1171.0,   79.197,        12
 measure1, orig-opt,  960, 1189.305, 1185.0,   83.635,         1
 measure1, orig-opt,  992, 1197.586, 1191.0,   82.057,        12
 measure1, orig-opt, 1024, 1207.253, 1205.0,   79.409,        12
 measure1,      lif,   32, 1340.436, 1335.0,   89.655,         9
 measure1,      lif,   64,   1483.6, 1477.0,  100.316,        10
 measure1,      lif,   96,  1747.15, 1736.0,  119.606,        16
 measure1,      lif,  128, 2379.496, 2364.0,  169.533,        19
 measure1,      lif,  160, 2492.814, 2468.0,  243.253,        16
 measure1,      lif,  192, 2472.444, 2441.0,  198.207,        23
 measure1,      lif,  224, 2884.329, 2853.0,  283.916,        17
 measure1,      lif,  256, 3194.617, 3174.5,  206.848,        24
 measure1,      lif,  288, 3450.179, 3413.0,  292.355,        19
 measure1,      lif,  320, 3622.097, 3603.0,   243.19,        23
 measure1,      lif,  352, 3885.459, 3857.0,  322.054,        28
 measure1,      lif,  384, 3861.345, 3809.0,  355.476,        29
 measure1,      lif,  416, 4118.814, 4069.0,  351.801,        27
 measure1,      lif,  448, 4479.573, 4410.0,  390.122,        26
 measure1,      lif,  480, 4623.185, 4566.0,   366.02,        27
 measure1,      lif,  512, 4481.998, 4435.0,  336.226,        27
 measure1,      lif,  544, 4937.642, 4862.5,  550.076,        12
 measure1,      lif,  576, 5694.724, 5657.0,  411.381,        28
 measure1,      lif,  608,   5426.3, 5370.5,  412.442,        28
 measure1,      lif,  640, 5919.042, 5872.5,  439.678,        26
 measure1,      lif,  672, 5815.554, 5707.0,  562.394,        23
 measure1,      lif,  704, 5515.761, 5455.0,  415.829,        29
 measure1,      lif,  736, 7005.761, 6964.0,  562.798,        19
 measure1,      lif,  768, 6347.954, 6281.5,  580.742,        32
 measure1,      lif,  800, 7137.908, 7021.0,  584.467,        25
 measure1,      lif,  832, 7031.575, 6798.0, 1082.758,         6
 measure1,      lif,  864, 8227.359, 8001.0,  988.728,         5
 measure1,      lif,  896, 7321.334, 7170.0,  804.485,        12
 measure1,      lif,  928, 7849.218, 7712.0,  724.371,        21
 measure1,      lif,  960, 8781.169, 8551.0, 1116.067,        10
 measure1,      lif,  992, 8451.011, 8238.0, 1073.677,         7
 measure1,      lif, 1024, 7827.913, 7634.5,   754.03,        28
 measure1,  lif-opt,   32, 1185.323, 1184.0,   88.206,        12
 measure1,  lif-opt,   64, 1180.328, 1180.5,   84.391,         8
 measure1,  lif-opt,   96, 1162.495, 1164.5,   76.563,        10
 measure1,  lif-opt,  128, 1157.259, 1157.0,   79.711,         6
 measure1,  lif-opt,  160, 1157.187, 1154.0,    86.67,         6
 measure1,  lif-opt,  192, 1168.671, 1162.0,   84.451,         6
 measure1,  lif-opt,  224, 1174.378, 1175.0,   84.372,        10
 measure1,  lif-opt,  256, 1187.579, 1179.0,    94.81,        10
 measure1,  lif-opt,  288,  1184.07, 1181.0,   87.381,        11
 measure1,  lif-opt,  320,   1180.7, 1172.5,   94.917,         6
 measure1,  lif-opt,  352, 1153.702, 1149.0,   74.937,        13
 measure1,  lif-opt,  384, 1141.548, 1131.0,   82.405,        12
 measure1,  lif-opt,  416, 1175.407, 1166.5,   90.002,         4
 measure1,  lif-opt,  448, 1185.626, 1174.0,   92.481,         8
 measure1,  lif-opt,  480, 1162.074, 1150.0,   91.745,        10
 measure1,  lif-opt,  512, 1200.568, 1191.5,   86.835,        10
 measure1,  lif-opt,  544, 1166.254, 1157.5,   89.975,        10
 measure1,  lif-opt,  576,  1167.72, 1155.0,   88.702,        10
 measure1,  lif-opt,  608, 1165.987, 1153.0,    88.72,        13
 measure1,  lif-opt,  640, 1186.929, 1176.0,   81.336,        11
 measure1,  lif-opt,  672, 1163.196, 1152.0,   86.651,        12
 measure1,  lif-opt,  704, 1175.141, 1162.0,   98.665,         3
 measure1,  lif-opt,  736, 1159.203, 1143.5,   88.982,         2
 measure1,  lif-opt,  768, 1161.555, 1152.5,   92.842,        10
 measure1,  lif-opt,  800, 1181.007, 1167.0,   94.526,         3
 measure1,  lif-opt,  832, 1156.525, 1150.0,   79.422,        10
 measure1,  lif-opt,  864,  1177.14, 1171.0,   89.669,         6
 measure1,  lif-opt,  896, 1159.735, 1146.0,   93.369,         3
 measure1,  lif-opt,  928, 1154.397, 1151.0,   77.863,        11
 measure1,  lif-opt,  960,  1145.09, 1136.0,   81.315,         5
 measure1,  lif-opt,  992, 1136.306, 1125.0,   83.395,         5
 measure1,  lif-opt, 1024, 1161.098, 1152.0,   87.406,         6
 measure1,     meng,   32, 1170.271, 1157.0,   88.913,         7
 measure1,     meng,   64, 1206.883, 1200.0,   96.976,         4
 measure1,     meng,   96,  1149.11, 1137.0,   82.216,        11
 measure1,     meng,  128, 1185.156, 1177.0,   89.079,         7
 measure1,     meng,  160, 1184.051, 1177.0,   91.006,         4
 measure1,     meng,  192, 1202.754, 1194.0,   99.895,         7
 measure1,     meng,  224, 1204.766, 1197.0,    85.79,        11
 measure1,     meng,  256, 1228.432, 1182.0,  206.888,        17
 measure1,     meng,  288, 1191.931, 1186.0,   88.848,        11
 measure1,     meng,  320, 1152.209, 1141.0,   84.962,         8
 measure1,     meng,  352, 1238.981, 1225.0,  111.337,         9
 measure1,     meng,  384, 1148.191, 1138.0,    79.34,        10
