Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,comp,orig,101,11,11,66,9,9,1,0,0
main1.c,comp,orig-opt,101,11,11,66,9,9,1,0,0
main1.c,comp,isochr,646,68,68,128,57,57,69,31,31
main1.c,comp,isochr-opt,657,68,68,146,56,56,67,27,27
main2.c,comp,orig,8,2,2,4,1,1,1,0,0
main2.c,comp,orig-opt,8,2,2,4,1,1,1,0,0
main2.c,comp,isochr,646,69,69,128,57,57,69,31,31
main2.c,comp,isochr-opt,657,68,68,146,56,56,67,27,27
main3.c,comp,orig,17,4,4,10,0,0,1,0,0
main3.c,comp,orig-opt,17,3,3,10,0,0,1,0,0
main3.c,comp,isochr,646,68,68,128,2,2,69,4,4
main3.c,comp,isochr-opt,657,68,68,146,2,2,67,5,5
