Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,deskey,orig,9.904,1.703,1.703,4.239,2.058,2.054,987,358,358
main1.c,deskey,orig-opt,11.145,1.909,1.909,4.446,2.253,2.248,1.703,605,604
main1.c,deskey,isochr,58.400,7.230,7.230,9.488,3.855,3.855,6.930,1.534,1.519
main1.c,deskey,isochr-opt,24.572,3.351,3.351,7.213,3.343,3.331,2.922,1.059,1.058
main1.c,cpkey,orig,68,13,13,34,9,9,33,8,8
main1.c,cpkey,orig-opt,68,14,14,34,9,9,33,8,8
main1.c,cpkey,isochr,69,14,14,34,9,9,34,9,9
main1.c,cpkey,isochr-opt,68,14,14,34,9,9,33,9,9
main1.c,scrunch,orig,32,4,4,10,1,1,9,1,1
main1.c,scrunch,orig-opt,32,4,4,10,1,1,9,0,0
main1.c,scrunch,isochr,33,4,4,10,1,1,10,2,2
main1.c,scrunch,isochr-opt,32,4,4,10,0,0,9,1,1
main1.c,desfunc,orig,678,94,94,164,152,152,3,1,1
main1.c,desfunc,orig-opt,678,95,95,164,152,152,3,1,1
main1.c,desfunc,isochr,679,95,95,164,152,152,4,2,2
main1.c,desfunc,isochr-opt,678,95,95,164,152,152,3,1,1
main1.c,unscrun,orig,20,2,2,10,0,0,9,1,1
main1.c,unscrun,orig-opt,20,2,2,10,0,0,9,0,0
main1.c,unscrun,isochr,21,2,2,10,0,0,10,2,2
main1.c,unscrun,isochr-opt,20,2,2,10,0,0,9,0,0
main2.c,deskey,orig,9.830,1.703,1.703,4.165,1.969,1.964,987,355,355
main2.c,deskey,orig-opt,11.071,1.909,1.909,4.372,2.138,2.130,1.703,606,605
main2.c,deskey,isochr,58.400,7.230,7.230,9.488,3.842,3.842,6.930,1.548,1.533
main2.c,deskey,isochr-opt,24.572,3.351,3.351,7.213,3.345,3.332,2.922,1.071,1.070
main2.c,cpkey,orig,68,13,13,34,9,9,33,8,8
main2.c,cpkey,orig-opt,68,14,14,34,9,9,33,8,8
main2.c,cpkey,isochr,69,14,14,34,9,9,34,9,9
main2.c,cpkey,isochr-opt,68,14,14,34,9,9,33,9,9
main2.c,scrunch,orig,32,4,4,10,1,1,9,1,1
main2.c,scrunch,orig-opt,32,4,4,10,1,1,9,0,0
main2.c,scrunch,isochr,33,4,4,10,1,1,10,2,2
main2.c,scrunch,isochr-opt,32,4,4,10,0,0,9,1,1
main2.c,desfunc,orig,678,94,94,164,155,155,3,1,1
main2.c,desfunc,orig-opt,678,95,95,164,155,155,3,1,1
main2.c,desfunc,isochr,679,95,95,164,156,156,4,2,2
main2.c,desfunc,isochr-opt,678,95,95,164,156,156,3,1,1
main2.c,unscrun,orig,20,2,2,10,0,0,9,1,1
main2.c,unscrun,orig-opt,20,2,2,10,0,0,9,0,0
main2.c,unscrun,isochr,21,2,2,10,0,0,10,2,2
main2.c,unscrun,isochr-opt,20,2,2,10,0,0,9,0,0
