Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,mu,orig,400,49,49,293,3,3,7,1,1
main1.c,mu,orig-opt,367,36,36,11,0,0,10,2,2
main1.c,mu,invar,2.212,210,210,548,67,67,486,91,81
main1.c,mu,invar-opt,349,35,35,10,0,0,9,1,1
main2.c,mu,orig,406,52,52,298,3,3,7,1,1
main2.c,mu,orig-opt,367,36,36,11,0,0,10,2,2
main2.c,mu,invar,2.212,210,210,548,67,67,486,91,81
main2.c,mu,invar-opt,349,35,35,10,0,0,9,1,1
