Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,CAST_set_key,orig,1.119,204,204,557,450,448,265,132,131
main1.c,CAST_set_key,orig-opt,1.108,188,188,464,409,409,201,128,128
main1.c,CAST_set_key,isochr,5.009,704,704,1.095,769,769,378,67,67
main1.c,CAST_set_key,isochr-opt,1.196,198,198,470,408,408,204,127,127
main1.c,CAST_encrypt,orig,378,46,46,101,88,88,4,1,1
main1.c,CAST_encrypt,orig-opt,347,44,44,101,89,89,4,1,1
main1.c,CAST_encrypt,isochr,379,46,46,101,88,88,5,1,1
main1.c,CAST_encrypt,isochr-opt,347,44,44,101,87,87,4,1,1
main2.c,CAST_set_key,orig,1.119,204,204,557,449,446,265,129,129
main2.c,CAST_set_key,orig-opt,1.108,188,188,464,409,409,201,127,127
main2.c,CAST_set_key,isochr,5.009,704,704,1.095,765,765,378,67,67
main2.c,CAST_set_key,isochr-opt,1.196,198,198,470,407,407,204,130,130
main2.c,CAST_encrypt,orig,378,46,46,101,82,82,4,1,1
main2.c,CAST_encrypt,orig-opt,347,44,44,101,83,83,4,1,1
main2.c,CAST_encrypt,isochr,379,46,46,101,83,83,5,0,0
main2.c,CAST_encrypt,isochr-opt,347,44,44,101,82,82,4,0,0
