Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,twy_enc,orig,32,8,8,5,2,2,8,1,1
main1.c,twy_enc,orig-opt,32,6,6,5,1,1,8,1,1
main1.c,twy_enc,isochr,69,9,9,16,6,6,18,3,3
main1.c,twy_enc,isochr-opt,45,8,8,8,2,2,11,2,2
main1.c,twy_dec,orig,55,10,10,10,4,4,13,2,2
main1.c,twy_dec,orig-opt,54,8,8,10,2,2,13,1,1
main1.c,twy_dec,isochr,138,18,18,32,12,12,36,4,4
main1.c,twy_dec,isochr-opt,90,16,16,16,4,4,22,2,2
main1.c,mu,orig,3.129,550,549,2.329,17,17,49,3,3
main1.c,mu,orig-opt,2.667,280,280,112,19,19,91,10,10
main1.c,mu,isochr,35.282,3.718,3.718,10.998,2.400,2.400,6.383,1.110,1.110
main1.c,mu,isochr-opt,20.761,2.548,2.548,6.227,1.324,1.324,4.160,1.399,1.399
main2.c,twy_enc,orig,32,8,8,5,2,2,8,1,1
main2.c,twy_enc,orig-opt,32,7,7,5,1,1,8,1,1
main2.c,twy_enc,isochr,69,9,9,16,6,6,18,3,3
main2.c,twy_enc,isochr-opt,45,8,8,8,2,2,11,2,2
main2.c,twy_dec,orig,55,11,11,10,4,4,13,2,2
main2.c,twy_dec,orig-opt,54,11,11,10,2,2,13,1,1
main2.c,twy_dec,isochr,138,18,18,32,12,12,36,4,4
main2.c,twy_dec,isochr-opt,90,16,16,16,4,4,22,2,2
main2.c,mu,orig,3.177,569,569,2.372,17,17,49,3,3
main2.c,mu,orig-opt,2.667,280,280,112,19,19,91,10,10
main2.c,mu,isochr,35.282,3.718,3.718,10.998,2.364,2.364,6.383,1.107,1.107
main2.c,mu,isochr-opt,20.761,2.548,2.548,6.227,1.324,1.324,4.160,1.399,1.399
main3.c,twy_enc,orig,32,8,8,5,2,2,8,1,1
main3.c,twy_enc,orig-opt,32,7,7,5,1,1,8,1,1
main3.c,twy_enc,isochr,69,11,11,16,6,6,18,3,3
main3.c,twy_enc,isochr-opt,45,8,8,8,2,2,11,2,2
main3.c,twy_dec,orig,55,11,11,10,4,4,13,2,2
main3.c,twy_dec,orig-opt,54,11,11,10,2,2,13,1,1
main3.c,twy_dec,isochr,138,22,22,32,12,12,36,4,4
main3.c,twy_dec,isochr-opt,90,16,16,16,4,4,22,2,2
main3.c,mu,orig,3.195,587,586,2.387,17,17,49,3,3
main3.c,mu,orig-opt,2.667,280,280,112,19,19,91,10,10
main3.c,mu,isochr,35.282,3.731,3.731,10.998,2.357,2.357,6.383,1.112,1.112
main3.c,mu,isochr-opt,20.761,2.535,2.535,6.227,1.324,1.323,4.160,1.399,1.399
main4.c,twy_enc,orig,32,8,8,5,2,2,8,1,1
main4.c,twy_enc,orig-opt,32,6,6,5,1,1,8,1,1
main4.c,twy_enc,isochr,69,11,11,16,6,6,18,3,3
main4.c,twy_enc,isochr-opt,45,8,8,8,2,2,11,2,2
main4.c,twy_dec,orig,55,10,10,10,4,4,13,2,2
main4.c,twy_dec,orig-opt,54,8,8,10,2,2,13,1,1
main4.c,twy_dec,isochr,138,22,22,32,12,12,36,4,4
main4.c,twy_dec,isochr-opt,90,16,16,16,4,4,22,2,2
main4.c,mu,orig,3.213,596,595,2.401,17,17,49,3,3
main4.c,mu,orig-opt,2.667,280,280,112,19,19,91,10,10
main4.c,mu,isochr,35.282,3.731,3.731,10.998,2.352,2.352,6.383,1.109,1.109
main4.c,mu,isochr-opt,20.761,2.535,2.535,6.227,1.323,1.322,4.160,1.400,1.400
