                 Bench,       Src,       Type,     N,        Mean,    Median,       Std,  #Outliers
              hash/md5,   measure,     isochr,    16,    2370.905,    2063.0,   705.365,          1
              hash/md5,   measure, isochr-opt,    16,    2249.051,    1930.0,   730.759,          1
              hash/md5,   measure,       meng,    16,          -1,        -1,        -1,         -1
              hash/md5,   measure,   meng-opt,    16,          -1,        -1,        -1,         -1
          dudect/aes32,   measure,       orig,    16,    3441.461,    3427.0,   105.666,         28
          dudect/aes32,   measure,   orig-opt,    16,    3855.559,    3837.0,    216.01,         24
          dudect/aes32,   measure,     isochr,    16,   12277.865,   12241.0,   246.556,          9
          dudect/aes32,   measure, isochr-opt,    16,   12208.611,   12182.0,   252.886,         15
          dudect/aes32,   measure,       meng,    16,          -1,        -1,        -1,         -1
          dudect/aes32,   measure,   meng-opt,    16,          -1,        -1,        -1,         -1
       dudect/donnabad,   measure,       orig,    32, 1598373.152, 1596909.5,  6689.828,         10
       dudect/donnabad,   measure,   orig-opt,    32,  1502172.43, 1501718.0,  2419.397,         23
       dudect/donnabad,   measure,     isochr,    32, 6751958.382, 6750841.0,  9926.243,          7
       dudect/donnabad,   measure, isochr-opt,    32, 2259805.063, 2259092.0,  3548.845,         35
       dudect/donnabad,   measure,       meng,    32,          -1,        -1,        -1,         -1
       dudect/donnabad,   measure,   meng-opt,    32,          -1,        -1,        -1,         -1
           chronos/aes,   measure,       orig,    64,    5725.124,    5679.5,   333.686,         34
           chronos/aes,   measure,   orig-opt,    64,    6119.118,    6113.0,   354.792,         11
           chronos/aes,   measure,     isochr,    64,    7244.815,    7209.0,   397.987,         28
           chronos/aes,   measure, isochr-opt,    64,    6417.851,    6381.0,   331.245,         22
           chronos/aes,   measure,       meng,    64,   12794.162,   12634.5,   976.147,          2
           chronos/aes,   measure,   meng-opt,    64,   10087.145,    9898.5,  1003.717,          2
           chronos/des,   measure,       orig,    64,    3305.119,    3295.0,   183.463,          2
           chronos/des,   measure,   orig-opt,    64,    3378.124,    3374.0,   200.384,          9
           chronos/des,   measure,     isochr,    64,    4174.188,    4143.0,   253.879,         11
           chronos/des,   measure, isochr-opt,    64,    4146.313,    4129.0,   248.491,         11
           chronos/des,   measure,       meng,    64,   26370.706,   25988.5,  2011.157,          4
           chronos/des,   measure,   meng-opt,    64,   16557.911,   16459.5,  1090.521,         18
          chronos/des3,   measure,       orig,    64,    3892.792,    3862.0,   224.227,         11
          chronos/des3,   measure,   orig-opt,    64,    3791.338,    3771.0,   220.351,          8
          chronos/des3,   measure,     isochr,    64,    6062.201,    6020.0,   419.841,         17
          chronos/des3,   measure, isochr-opt,    64,    6597.509,    6525.0,   533.162,         11
          chronos/des3,   measure,       meng,    64,   39467.122,   39146.0,  2274.979,         15
          chronos/des3,   measure,   meng-opt,    64,   28830.435,   28323.0,  2232.496,         21
        chronos/anubis,   measure,       orig,    64,    4745.579,    4623.0,   631.585,         17
        chronos/anubis,   measure,   orig-opt,    64,    4009.326,    3983.0,   246.114,         17
        chronos/anubis,   measure,     isochr,    64,    7811.916,    7779.0,   484.614,         27
        chronos/anubis,   measure, isochr-opt,    64,    7597.893,    7244.0,  1298.795,         24
        chronos/anubis,   measure,       meng,    64,   41088.421,   40359.5,  2966.093,          6
        chronos/anubis,   measure,   meng-opt,    64,     42120.7,   41409.0,  2991.526,          8
         chronos/cast5,   measure,       orig,    64,    4008.413,    3975.0,    230.48,          4
         chronos/cast5,   measure,   orig-opt,    64,    3898.995,    3882.0,   243.059,          5
         chronos/cast5,   measure,     isochr,    64,    5502.822,    5485.5,   263.558,         18
         chronos/cast5,   measure, isochr-opt,    64,    5256.894,    5228.5,   340.893,          2
         chronos/cast5,   measure,       meng,    64,    8736.115,    8626.0,   705.602,          1
         chronos/cast5,   measure,   meng-opt,    64,    9047.923,    8922.5,   848.535,          2
         chronos/cast6,   measure,       orig,    16,    3308.363,    3285.0,    182.91,         13
         chronos/cast6,   measure,   orig-opt,    16,    3777.422,    3768.0,   179.786,          5
         chronos/cast6,   measure,     isochr,    16,    4132.846,    4111.0,    262.08,          5
         chronos/cast6,   measure, isochr-opt,    16,     4267.36,    4264.0,   203.904,         13
         chronos/cast6,   measure,       meng,    16,     6214.35,    6200.0,   332.259,         11
         chronos/cast6,   measure,   meng-opt,    16,    5693.874,    5659.0,    281.93,         13
        chronos/fcrypt,   measure,       orig,    64,     3499.04,    3501.0,   169.671,          3
        chronos/fcrypt,   measure,   orig-opt,    64,    3278.945,    3296.0,   187.414,          4
        chronos/fcrypt,   measure,     isochr,    64,    3406.984,    3395.0,   152.214,          8
        chronos/fcrypt,   measure, isochr-opt,    64,    3468.579,    3468.0,   173.535,          3
        chronos/fcrypt,   measure,       meng,    64,     4809.49,    4785.0,   272.203,         29
        chronos/fcrypt,   measure,   meng-opt,    64,    4170.016,    4125.0,   298.004,          5
        chronos/khazad,   measure,       orig,    64,    4724.593,    4749.0,   346.354,          3
        chronos/khazad,   measure,   orig-opt,    64,    4318.427,    4303.5,   261.149,          6
        chronos/khazad,   measure,     isochr,    64,    4521.991,    4480.0,   343.619,          9
        chronos/khazad,   measure, isochr-opt,    64,    4830.557,    4823.5,   271.321,          8
        chronos/khazad,   measure,       meng,    64,   18143.962,   17952.0,   1287.76,         23
        chronos/khazad,   measure,   meng-opt,    64,    15153.87,   15003.0,  1140.309,         13
         felics/lblock,   measure,       orig,    64,    2033.182,    2021.5,   104.447,          6
         felics/lblock,   measure,   orig-opt,    64,    2023.598,    1989.0,   173.481,          5
         felics/lblock,   measure,     isochr,    64,    4348.151,    4337.0,   227.424,         16
         felics/lblock,   measure, isochr-opt,    64,    3783.348,    3760.0,   291.714,         18
         felics/lblock,   measure,       meng,    64,    2121.571,    2109.0,   133.184,         25
         felics/lblock,   measure,   meng-opt,    64,    1894.674,    1883.0,   124.751,         14
        felics/piccolo,   measure,       orig,    64,    2166.751,    2156.0,    122.05,         23
        felics/piccolo,   measure,   orig-opt,    64,    2166.013,    2155.0,   143.638,          3
        felics/piccolo,   measure,     isochr,    64,    2992.148,    2976.0,   126.344,         19
        felics/piccolo,   measure, isochr-opt,    64,    2623.997,    2615.0,    97.676,          7
        felics/piccolo,   measure,       meng,    64,    2328.261,    2326.0,   142.545,          4
        felics/piccolo,   measure,   meng-opt,    64,    2092.419,    2089.0,    89.188,          5
        felics/present,   measure,       orig,    64,    2418.857,    2380.0,   249.124,          3
        felics/present,   measure,   orig-opt,    64,    2419.715,    2380.0,   200.197,         23
        felics/present,   measure,     isochr,    64,     4023.97,    3936.0,   503.006,          6
        felics/present,   measure, isochr-opt,    64,     3889.58,    3844.5,   339.953,         28
        felics/present,   measure,       meng,    64,    2410.347,    2398.5,    205.37,         20
        felics/present,   measure,   meng-opt,    64,    2161.547,    2134.0,   188.505,         21
          felics/twine,   measure,       orig,    64,    4047.225,    4006.0,   333.563,         15
          felics/twine,   measure,   orig-opt,    64,    2723.429,    2669.0,    311.01,          2
          felics/twine,   measure,     isochr,    64,   11069.483,   10954.0,   746.646,         32
          felics/twine,   measure, isochr-opt,    64,    9247.923,    9016.5,  1236.522,          6
          felics/twine,   measure,       meng,    64,    3665.497,    3628.0,   297.861,         25
          felics/twine,   measure,   meng-opt,    64,     2860.26,    2812.0,   251.399,         12
          supercop/aes,   measure,       orig,    64,    3296.511,    3293.0,   179.515,          7
          supercop/aes,   measure,   orig-opt,    64,    3374.526,    3369.0,   153.397,          7
          supercop/aes,   measure,     isochr,    64,    4867.822,    4851.0,   291.522,         17
          supercop/aes,   measure, isochr-opt,    64,    4699.538,    4668.0,   414.136,          5
          supercop/aes,   measure,       meng,    64,    3911.913,    3872.0,   281.272,          9
          supercop/aes,   measure,   meng-opt,    64,    3919.196,    3877.0,   274.514,          2
         supercop/cast,   measure,       orig,    64,     4538.48,    4492.0,   410.726,          2
         supercop/cast,   measure,   orig-opt,    64,    5191.985,    5184.0,   326.633,          5
         supercop/cast,   measure,     isochr,    64,     6812.84,    6766.0,   501.497,          4
         supercop/cast,   measure, isochr-opt,    64,    6236.671,    6208.5,    298.72,         10
         supercop/cast,   measure,       meng,    64,   31669.725,   31297.0,   2045.19,         14
         supercop/cast,   measure,   meng-opt,    64,   20949.163,   20683.0,  1581.344,         12
   applied-crypto/3way,   measure,       orig,     3,    6244.439,    6182.0,   335.158,         23
   applied-crypto/3way,   measure,   orig-opt,     3,    3006.238,    2996.5,   132.792,          8
   applied-crypto/3way,   measure,     isochr,     3,    9084.124,    9041.0,   303.961,          4
   applied-crypto/3way,   measure, isochr-opt,     3,     5431.36,    5397.5,   230.469,          6
   applied-crypto/3way,   measure,       meng,     3,    3848.635,    3833.5,   145.653,          8
   applied-crypto/3way,   measure,   meng-opt,     3,    2947.853,    2933.0,   150.836,          2
    applied-crypto/des,   measure,       orig,     8,    10927.61,   10141.0,  1533.481,         11
    applied-crypto/des,   measure,   orig-opt,     8,    8209.663,    8008.0,   784.236,         16
    applied-crypto/des,   measure,     isochr,     8,   32957.151,   32465.0,  2551.992,         11
    applied-crypto/des,   measure, isochr-opt,     8,   22026.493,   21867.5,  1348.321,         24
    applied-crypto/des,   measure,       meng,     8,   10817.024,   10535.0,     978.5,         13
    applied-crypto/des,   measure,   meng-opt,     8,     8190.89,    8021.0,  1087.367,          2
 applied-crypto/loki91,   measure,       orig,    24,   37492.855,   37451.0,   567.452,         23
 applied-crypto/loki91,   measure,   orig-opt,    24,   33344.019,   33351.0,   261.178,          4
 applied-crypto/loki91,   measure,     isochr,    24,   52464.103,   52320.5,   377.329,         10
 applied-crypto/loki91,   measure, isochr-opt,    24,   44669.909,   44524.5,   359.743,         12
 applied-crypto/loki91,   measure,       meng,    24,   47447.152,   47328.5,   305.157,         16
 applied-crypto/loki91,   measure,   meng-opt,    24,   43686.221,   43582.0,    350.37,         10
    libgcrypt/camellia,   measure,       orig,    50,    1657.575,    1650.0,   121.764,          1
    libgcrypt/camellia,   measure,   orig-opt,    50,    1681.044,    1670.0,    105.17,         10
    libgcrypt/camellia,   measure,     isochr,    50,     2068.06,    2054.0,   148.096,         13
    libgcrypt/camellia,   measure, isochr-opt,    50,    1853.359,    1826.0,   173.059,          7
    libgcrypt/camellia,   measure,       meng,    50,    2754.074,    2728.0,     295.5,         15
    libgcrypt/camellia,   measure,   meng-opt,    50,    2126.227,    2108.0,   162.729,         17
         libgcrypt/des,   measure,       orig,    64,    2074.387,    2032.0,    213.44,         22
         libgcrypt/des,   measure,   orig-opt,    64,    3423.848,    3385.0,   258.699,          3
         libgcrypt/des,   measure,     isochr,    64,    2903.027,    2860.5,    283.09,         14
         libgcrypt/des,   measure, isochr-opt,    64,    5163.836,    5114.0,   354.113,          8
         libgcrypt/des,   measure,       meng,    64,    2949.401,    2926.0,   327.461,          7
         libgcrypt/des,   measure,   meng-opt,    64,    3941.206,    3922.0,   234.338,         20
        libgcrypt/seed,   measure,       orig,    16,    3130.085,    3108.0,   160.357,          1
        libgcrypt/seed,   measure,   orig-opt,    16,    3578.283,    3557.5,   185.825,          8
        libgcrypt/seed,   measure,     isochr,    16,    4533.135,    4504.0,   285.186,         12
        libgcrypt/seed,   measure, isochr-opt,    16,    4414.689,    4375.0,   329.526,         11
        libgcrypt/seed,   measure,       meng,    16,   12914.511,   12761.5,   903.327,         18
        libgcrypt/seed,   measure,   meng-opt,    16,   11667.689,   11588.0,   779.836,         17
     libgcrypt/twofish,   measure,       orig,    16,    9518.581,    9487.0,   425.873,          5
     libgcrypt/twofish,   measure,   orig-opt,    16,    6651.115,    6539.0,   646.431,          5
     libgcrypt/twofish,   measure,     isochr,    16,   29528.102,   29285.5,  1524.826,         18
     libgcrypt/twofish,   measure, isochr-opt,    16,   15448.182,   15348.0,  1471.101,          9
     libgcrypt/twofish,   measure,       meng,    16,   77347.138,   76733.5,  5325.983,          8
     libgcrypt/twofish,   measure,   meng-opt,    16,   71588.123,   70876.0,  4531.064,          6
