                   Bench,       Src,         Type,    N,   #LLVM-IR Instructions
     applied-crypto/3way,   measure,         meng,    3,                    3028
     applied-crypto/3way,   measure,     meng-opt,    3,                    1259
      applied-crypto/des,   measure,         orig,    8,                   29492
      applied-crypto/des,   measure,     orig-opt,    8,                   20342
      applied-crypto/des,   measure,          lif,    8,                  127061
      applied-crypto/des,   measure,      lif-opt,    8,                   40187
      applied-crypto/des,   measure,         meng,    8,                   35892
      applied-crypto/des,   measure,     meng-opt,    8,                   24511
   applied-crypto/loki91,   measure,         orig,   24,                    1327
   applied-crypto/loki91,   measure,     orig-opt,   24,                    1040
   applied-crypto/loki91,   measure,          lif,   24,                    2493
   applied-crypto/loki91,   measure,      lif-opt,   24,                    1186
   applied-crypto/loki91,   measure,         meng,   24,                      -1
   applied-crypto/loki91,   measure,     meng-opt,   24,                      -1
      libgcrypt/camellia,   measure,         orig,   50,                    1246
      libgcrypt/camellia,   measure,     orig-opt,   50,                     726
      libgcrypt/camellia,   measure,          lif,   50,                    4248
      libgcrypt/camellia,   measure,      lif-opt,   50,                    1366
      libgcrypt/camellia,   measure,         meng,   50,                    3742
      libgcrypt/camellia,   measure,     meng-opt,   50,                    3222
           libgcrypt/des,   measure,         orig,   64,                    3814
           libgcrypt/des,   measure,     orig-opt,   64,                    3194
           libgcrypt/des,   measure,          lif,   64,                    6619
           libgcrypt/des,   measure,      lif-opt,   64,                    4219
           libgcrypt/des,   measure,         meng,   64,                    6118
           libgcrypt/des,   measure,     meng-opt,   64,                    5498
          libgcrypt/seed,   measure,         orig,   16,                    5520
          libgcrypt/seed,   measure,     orig-opt,   16,                    3521
          libgcrypt/seed,   measure,          lif,   16,                   12297
          libgcrypt/seed,   measure,      lif-opt,   16,                    5196
          libgcrypt/seed,   measure,         meng,   16,                   45456
          libgcrypt/seed,   measure,     meng-opt,   16,                   43457
       libgcrypt/twofish,   measure,         orig,   16,                   23964
       libgcrypt/twofish,   measure,     orig-opt,   16,                   14766
       libgcrypt/twofish,   measure,          lif,   16,                   68790
       libgcrypt/twofish,   measure,      lif-opt,   16,                   23609
       libgcrypt/twofish,   measure,         meng,   16,                  168796
       libgcrypt/twofish,   measure,     meng-opt,   16,                  152542
