Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,fcrypt_setkey,orig,127,15,15,10,1,1,17,2,2
main1.c,fcrypt_setkey,orig-opt,121,14,14,10,1,1,17,2,2
main1.c,fcrypt_setkey,isochr,128,15,15,10,1,1,18,3,3
main1.c,fcrypt_setkey,isochr-opt,121,14,14,10,1,1,17,2,2
main1.c,fcrypt_encrypt,orig,200,29,29,132,78,78,19,7,7
main1.c,fcrypt_encrypt,orig-opt,204,28,28,85,77,77,4,1,1
main1.c,fcrypt_encrypt,isochr,203,29,29,132,80,80,20,7,7
main1.c,fcrypt_encrypt,isochr-opt,205,28,28,85,77,77,4,2,2
main2.c,fcrypt_setkey,orig,127,15,15,10,1,1,17,2,2
main2.c,fcrypt_setkey,orig-opt,121,14,14,10,1,1,17,2,2
main2.c,fcrypt_setkey,isochr,128,15,15,10,1,1,18,3,3
main2.c,fcrypt_setkey,isochr-opt,121,14,14,10,1,1,17,2,2
main2.c,fcrypt_encrypt,orig,200,29,29,132,79,79,19,8,8
main2.c,fcrypt_encrypt,orig-opt,204,28,28,85,78,78,4,1,1
main2.c,fcrypt_encrypt,isochr,203,29,29,132,77,77,20,10,10
main2.c,fcrypt_encrypt,isochr-opt,205,28,28,85,75,75,4,2,2
